country,birth_rt,fertility_rt,infant_mortality_rt,life_expectancy,physicians_per_thousand,lat,long,gross_domestic_product_usd(b),primary_education_enrollment_pct,secondary_education_enrollment_pct,tax_revenue_pct,unemployment_rt,continent,covid_cases,covid_deaths,average_population
Saint Vincent and the Grenadines,14.24,1.89,14.8,72.4,0.66,12.984305,-61.287228,0.8254,113.4,23.7,25.4,18.88,North America,0.0,0.0,105772
Samoa,24.38,3.88,13.6,73.2,0.34,-13.759029,-172.104629,0.8507,110.5,7.6,25.5,8.36,Oceana,0.0,0.0,200739
San Marino,6.8,1.26,1.7,85.4,6.11,43.94236,12.457777,1.6379,108.1,42.5,18.1,8.1,Europe,1609.0,45.0,33910
Sao Tome and Principe,31.54,4.32,24.4,70.2,0.05,0.203237,6.608357,0.429,106.8,13.4,14.6,13.37,Africa,991.0,17.0,217985
Saudi Arabia,17.8,2.32,6.0,75.0,2.61,23.885942,45.079162,792.9668,99.8,68.0,8.9,5.93,Asia,357360.0,5896.0,34657576
Senegal,34.52,4.63,31.8,67.7,0.07,14.497401,-14.452362,23.5781,81.0,12.8,16.3,6.6,Africa,16089.0,333.0,16616426
Serbia,9.2,1.49,4.8,75.5,3.11,44.016521,21.005859,51.4092,100.3,67.2,18.6,12.69,Europe,169214.0,1549.0,7833836
Seychelles,17.1,2.41,12.4,72.8,0.95,-4.679574,55.491977,1.6988,100.4,17.1,34.1,3.0,Africa,172.0,0.0,98115
Sierra Leone,33.41,4.26,78.5,54.3,0.03,8.460555,-11.779889,3.9415,112.8,2.0,8.6,4.43,Africa,2412.0,74.0,7930173
Singapore,8.8,1.14,2.3,83.1,2.29,1.352083,103.819836,372.0625,100.6,84.8,13.1,4.11,Asia,58218.0,29.0,5786719
Slovakia,10.6,1.52,4.6,77.2,3.42,48.669026,19.699024,105.4223,98.7,46.6,18.7,5.56,Europe,105733.0,816.0,5457412
Slovenia,9.4,1.6,1.7,81.0,3.09,46.151241,14.995463,53.7422,100.4,78.6,18.6,4.2,Europe,75381.0,927.0,2083502
Solomon Islands,32.44,4.4,17.1,72.8,0.19,-9.64571,160.156194,1.4251,106.2,48.3,29.5,0.58,Oceana,17.0,0.0,682020
Somalia,41.75,6.07,76.6,57.1,0.02,5.152149,46.199616,4.7207,23.4,2.5,0.0,11.35,Africa,4451.0,113.0,15765082
South Africa,20.51,2.41,28.5,63.9,0.91,-30.559482,22.937506,351.4316,100.9,22.4,27.5,28.18,Africa,790004.0,21535.0,59093330
South Korea,6.4,0.98,2.7,82.6,2.36,35.907757,127.766922,2029.0,98.1,94.3,15.6,4.15,Asia,14500000.0,20000.0,51709098
South Sudan,35.01,4.7,63.7,57.6,0.04,6.8769919,31.3069788,11.9978,73.0,11.2,8.5,12.24,Africa,3109.0,61.0,11155937
Spain,7.9,1.26,2.5,83.3,3.87,40.463667,-3.74922,1394.1163,102.7,88.9,14.2,13.96,Europe,1628208.0,44668.0,46919581
Sri Lanka,15.83,2.2,6.4,76.8,1.0,7.873054,80.771797,84.0088,100.2,19.6,11.9,4.2,Asia,23484.0,116.0,21627078
